cluster	length	speices	N	S	dN	dS	NdN	SdS	w	lnl
10	3687	Cid	2916.2	770.8	0.019120	0.283563	55.757744	218.5703604	0.0674	-11043.441331
10	3687	Dre	2916.2	770.8	0.026793	0.523317	78.1337466	403.3727436	0.0512	-11043.441331
10	3687	Ipu	2916.2	770.8	0.083714	1.236538	244.1267668	953.1234904	0.0677	-11043.441331
10	3687	Tmi	2916.2	770.8	0.009921	0.070785	28.9316202	54.561078	0.1402	-11043.441331
10	3687	Tsi	2916.2	770.8	0.009530	0.045980	27.791386	35.441384	0.2073	-11043.441331
100	168	Cid	128.0	40.0	0.007693	0.096852	0.984704	3.87408	0.0794	-437.840067
100	168	Dre	128.0	40.0	0.015379	0.247221	1.968512	9.88884	0.0622	-437.840067
100	168	Ipu	128.0	40.0	0.041289	3.151808	5.284992	126.07232	0.0131	-437.840067
100	168	Tmi	128.0	40.0	0.007955	0.053027	1.01824	2.12108	0.1500	-437.840067
100	168	Tsi	128.0	40.0	0.000000	0.000006	0	0.00024	0.0001	-437.840067
1000	7782	Cid	5989.6	1792.4	0.005957	0.183166	35.6800472	328.3067384	0.0325	-19606.708040
1000	7782	Dre	5989.6	1792.4	0.008253	0.369218	49.4321688	661.7863432	0.0224	-19606.708040
1000	7782	Ipu	5989.6	1792.4	0.025938	1.379450	155.3582448	2472.52618	0.0188	-19606.708040
1000	7782	Tmi	5989.6	1792.4	0.006124	0.050073	36.6803104	89.7508452	0.1223	-19606.708040
1000	7782	Tsi	5989.6	1792.4	0.001946	0.035068	11.6557616	62.8558832	0.0555	-19606.708040
10000	2223	Cid	1649.7	573.3	0.026348	0.075089	43.4662956	43.0485237	0.3509	-7072.465182
10000	2223	Dre	1649.7	573.3	0.034461	0.224468	56.8503117	128.6875044	0.1535	-7072.465182
10000	2223	Ipu	1649.7	573.3	0.169481	1.557965	279.5928057	893.1813345	0.1088	-7072.465182
10000	2223	Tmi	1649.7	573.3	0.011110	0.040770	18.328167	23.373441	0.2725	-7072.465182
10000	2223	Tsi	1649.7	573.3	0.010759	0.033179	17.7491223	19.0215207	0.3243	-7072.465182
10002	1458	Cid	1087.6	370.4	0.003823	0.088909	4.1578948	32.9318936	0.0430	-3898.184607
10002	1458	Dre	1087.6	370.4	0.024432	0.181945	26.5722432	67.392428	0.1343	-3898.184607
10002	1458	Ipu	1087.6	370.4	0.068795	0.918446	74.821442	340.1923984	0.0749	-3898.184607
10002	1458	Tmi	1087.6	370.4	0.003601	0.056023	3.9164476	20.7509192	0.0643	-3898.184607
10002	1458	Tsi	1087.6	370.4	0.007879	0.032667	8.5692004	12.0998568	0.2412	-3898.184607
10003	564	Cid	404.2	159.8	0.010150	0.054991	4.10263	8.7875618	0.1846	-1359.559570
10003	564	Dre	404.2	159.8	0.002518	0.126529	1.0177756	20.2193342	0.0199	-1359.559570
10003	564	Ipu	404.2	159.8	0.036185	1.086376	14.625977	173.6028848	0.0333	-1359.559570
10003	564	Tmi	404.2	159.8	0.005058	0.035235	2.0444436	5.630553	0.1435	-1359.559570
10003	564	Tsi	404.2	159.8	0.005084	0.017831	2.0549528	2.8493938	0.2851	-1359.559570
10005	378	Cid	272.8	105.2	0.025909	0.060371	7.0679752	6.3510292	0.4292	-1151.064908
10005	378	Dre	272.8	105.2	0.023832	0.331257	6.5013696	34.8482364	0.0719	-1151.064908
10005	378	Ipu	272.8	105.2	0.088014	0.836949	24.0102192	88.0470348	0.1052	-1151.064908
10005	378	Tmi	272.8	105.2	0.034479	0.093561	9.4058712	9.8426172	0.3685	-1151.064908
10005	378	Tsi	272.8	105.2	0.011601	0.029406	3.1647528	3.0935112	0.3945	-1151.064908
10007	492	Cid	354.1	137.9	0.009490	0.094510	3.360409	13.032929	0.1004	-1680.247331
10007	492	Dre	354.1	137.9	0.052195	0.403275	18.4822495	55.6116225	0.1294	-1680.247331
10007	492	Ipu	354.1	137.9	0.186969	1.793364	66.2057229	247.3048956	0.1043	-1680.247331
10007	492	Tmi	354.1	137.9	0.009589	0.058345	3.3954649	8.0457755	0.1643	-1680.247331
10007	492	Tsi	354.1	137.9	0.016576	0.082723	5.8695616	11.4075017	0.2004	-1680.247331
10008	792	Cid	597.6	194.4	0.019142	0.157502	11.4392592	30.6183888	0.1215	-2645.625812
10008	792	Dre	597.6	194.4	0.044761	0.360569	26.7491736	70.0946136	0.1241	-2645.625812
10008	792	Ipu	597.6	194.4	0.166686	1.000533	99.6115536	194.5036152	0.1666	-2645.625812
10008	792	Tmi	597.6	194.4	0.011065	0.077032	6.612444	14.9750208	0.1436	-2645.625812
10008	792	Tsi	597.6	194.4	0.012856	0.022164	7.6827456	4.3086816	0.5801	-2645.625812
10009	1329	Cid	961.9	367.1	0.011304	0.085195	10.8733176	31.2750845	0.1327	-3816.077149
10009	1329	Dre	961.9	367.1	0.031964	0.151346	30.7461716	55.5591166	0.2112	-3816.077149
10009	1329	Ipu	961.9	367.1	0.097160	1.417054	93.458204	520.2005234	0.0686	-3816.077149
10009	1329	Tmi	961.9	367.1	0.006572	0.042373	6.3216068	15.5551283	0.1551	-3816.077149
10009	1329	Tsi	961.9	367.1	0.008162	0.041808	7.8510278	15.3477168	0.1952	-3816.077149
1001	2997	Cid	2203.3	793.7	0.016003	0.101947	35.2594099	80.9153339	0.1570	-8463.164020
1001	2997	Dre	2203.3	793.7	0.018250	0.326268	40.210225	258.9589116	0.0559	-8463.164020
1001	2997	Ipu	2203.3	793.7	0.071387	1.314773	157.2869771	1043.5353301	0.0543	-8463.164020
1001	2997	Tmi	2203.3	793.7	0.009095	0.050716	20.0390135	40.2532892	0.1793	-8463.164020
