cluster	type	np	lnl	w1	w2
10	All	9	-11061.241944	0.07353	0.07353
10	Tmi	10	-11056.148098	0.06979	0.17487
10	Tsi	10	-11053.694794	0.06933	0.25211
10	TmiTsi	10	-11061.074058	0.07485	0.06471
100	All	9	-440.093249	0.03907	0.03907
100	Tmi	10	-439.562770	0.03529	0.15117
100	Tsi	10	-440.093244	0.03907	0.00010
100	TmiTsi	10	-439.985209	0.03607	0.09377
1000	All	9	-19641.251953	0.02820	0.02820
1000	Tmi	10	-19619.628827	0.02550	0.12951
1000	Tsi	10	-19637.938936	0.02743	0.07568
1000	TmiTsi	10	-19637.248800	0.02589	0.04406
10000	All	9	-7084.467607	0.16195	0.16195
10000	Tmi	10	-7082.769198	0.15669	0.31785
10000	Tsi	10	-7082.025416	0.15582	0.39557
10000	TmiTsi	10	-7084.040614	0.15595	0.20447
10002	All	9	-3903.710896	0.09577	0.09577
10002	Tmi	10	-3903.619609	0.09678	0.07518
10002	Tsi	10	-3902.175872	0.09133	0.23088
10002	TmiTsi	10	-3902.757738	0.08943	0.14401
10003	All	9	-1366.246710	0.04316	0.04316
10003	Tmi	10	-1365.305123	0.04001	0.15294
10003	Tsi	10	-1364.502698	0.03942	0.30993
10003	TmiTsi	10	-1366.155761	0.04488	0.03145
10005	All	9	-1158.932021	0.19889	0.19889
10005	Tmi	10	-1158.077023	0.18236	0.38248
10005	Tsi	10	-1158.066393	0.18610	1.82461
10005	TmiTsi	10	-1155.385880	0.15027	0.47693
10007	All	9	-1683.048991	0.14987	0.14987
10007	Tmi	10	-1683.002087	0.14765	0.19228
10007	Tsi	10	-1682.909351	0.14637	0.20465
10007	TmiTsi	10	-1680.986766	0.12755	3.36551
10008	All	9	-2649.207716	0.16405	0.16405
10008	Tmi	10	-2649.188932	0.16311	0.18152
10008	Tsi	10	-2647.702627	0.15569	0.59640
10008	TmiTsi	10	-2648.231130	0.14962	0.25729
10009	All	9	-3824.279828	0.10783	0.10783
10009	Tmi	10	-3823.911712	0.10556	0.16986
10009	Tsi	10	-3823.405597	0.10434	0.20729
10009	TmiTsi	10	-3824.241434	0.10626	0.11637
1001	All	9	-8483.653738	0.07654	0.07654
1001	Tmi	10	-8478.173003	0.07205	0.21388
1001	Tsi	10	-8475.623253	0.07217	0.46833
1001	TmiTsi	10	-8483.587452	0.07552	0.08218
10010	All	9	-4153.569874	0.14025	0.14025
10010	Tmi	10	-4153.046738	0.14320	0.07540
10010	Tsi	10	-4152.599922	0.14515	0.06341
10010	TmiTsi	10	-4145.069623	0.17559	0.04558
10014	All	9	-5879.826407	0.10438	0.10438
10014	Tmi	10	-5878.344111	0.10102	0.20694
10014	Tsi	10	-5879.660354	0.10539	0.07736
10014	TmiTsi	10	-5878.371573	0.11199	0.07235
10016	All	9	-3181.736318	0.18094	0.18094
10016	Tmi	10	-3181.718481	0.18015	0.20010
10016	Tsi	10	-3181.659670	0.17916	0.22477
10016	TmiTsi	10	-3173.631240	0.14352	0.96145
10020	All	9	-4184.873455	0.17291	0.17291
10020	Tmi	10	-4184.824915	0.17151	0.19684
10020	Tsi	10	-4181.018973	0.16006	0.50172
10020	TmiTsi	10	-4184.534392	0.16693	0.22779
10024	All	9	-3311.800798	0.06360	0.06360
10024	Tmi	10	-3310.022280	0.05966	0.17806
10024	Tsi	10	-3311.123856	0.06106	0.11908
10024	TmiTsi	10	-3311.747707	0.06494	0.05788
10025	All	9	-3314.964742	0.03922	0.03922
10025	Tmi	10	-3314.630972	0.03818	0.06805
10025	Tsi	10	-3314.539323	0.03967	0.00010
10025	TmiTsi	10	-3314.922300	0.04000	0.03432
10027	All	9	-970.532088	0.06017	0.06017
10027	Tmi	10	-967.976244	0.05192	0.43185
10027	Tsi	10	-967.655372	0.05354	11.21400
10027	TmiTsi	10	-970.237536	0.06514	0.03570
10029	All	9	-5010.216216	0.04829	0.04829
10029	Tmi	10	-5007.880552	0.04593	0.13917
10029	Tsi	10	-5007.215477	0.04557	0.16013
10029	TmiTsi	10	-5009.985762	0.04656	0.05789
10030	All	9	-1593.699728	0.10154	0.10154
10030	Tmi	10	-1592.298337	0.09309	0.26263
10030	Tsi	10	-1593.656538	0.10064	0.15915
10030	TmiTsi	10	-1592.252558	0.11725	0.04805
10038	All	9	-2098.829733	0.14495	0.14495
10038	Tmi	10	-2098.828097	0.14521	0.13850
10038	Tsi	10	-2098.379063	0.14063	0.32505
10038	TmiTsi	10	-2097.215610	0.12350	0.26251
10039	All	9	-7678.901102	0.11740	0.11740
10039	Tmi	10	-7678.468451	0.11520	0.15484
10039	Tsi	10	-7678.795079	0.11645	0.14111
10039	TmiTsi	10	-7678.841446	0.11582	0.12482
1004	All	9	-4448.360438	0.10079	0.10079
1004	Tmi	10	-4446.767003	0.09694	0.20854
1004	Tsi	10	-4443.913812	0.09584	0.74795
1004	TmiTsi	10	-4448.013869	0.09700	0.12420
10043	All	9	-3655.708218	0.11836	0.11836
10043	Tmi	10	-3655.266465	0.11546	0.17964
10043	Tsi	10	-3651.368776	0.11031	0.76632
10043	TmiTsi	10	-3655.343043	0.12347	0.08640
10047	All	9	-3465.615994	0.05567	0.05567
10047	Tmi	10	-3462.489827	0.05110	0.19330
10047	Tsi	10	-3464.637803	0.05342	0.13836
10047	TmiTsi	10	-3465.439555	0.05369	0.06976
1005	All	9	-3010.493838	0.12328	0.12328
1005	Tmi	10	-3010.487194	0.12281	0.13141
1005	Tsi	10	-3009.215972	0.11753	0.31286
1005	TmiTsi	10	-3010.044892	0.11600	0.18113
